City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Honningsvag,NO,2020-08-31 19:41:44,70.98,25.97,50.0,61,75,9.17
109,Chocen,CZ,2020-08-31 19:41:44,50.0,16.22,59.0,62,98,1.99
110,Hofn,IS,2020-08-31 19:41:44,64.25,-15.21,51.8,100,75,6.93
111,Seidu,SL,2020-08-31 19:41:44,9.02,-10.6,67.75,100,89,5.12
112,Lompoc,US,2020-08-31 19:37:36,34.64,-120.46,72.0,60,1,4.7
113,Darhan,MN,2020-08-31 19:41:45,49.49,105.92,50.09,79,31,2.3
114,Lalsk,RU,2020-08-31 19:41:45,60.74,47.59,51.17,96,100,5.26
115,Cape Town,ZA,2020-08-31 19:38:56,-33.93,18.42,48.0,87,7,5.82
116,Ilulissat,GL,2020-08-31 19:41:45,69.22,-51.1,42.8,75,20,4.7
117,Lata,PT,2020-08-31 19:41:46,40.16,-8.33,73.99,34,80,1.99
118,Tazovskiy,RU,2020-08-31 19:38:14,67.47,78.7,47.35,82,99,12.88
119,Hauterive,FR,2020-08-31 19:41:46,46.09,3.45,60.8,67,20,4.7
120,Salalah,OM,2020-08-31 19:41:46,17.02,54.09,77.0,94,90,5.82
121,Nioki,CD,2020-08-31 19:41:46,-2.72,17.68,75.72,86,55,2.08
122,Belyy Yar,RU,2020-08-31 19:41:47,53.6,91.39,50.0,100,0,2.24
123,Khatanga,RU,2020-08-31 19:41:47,71.97,102.5,38.95,93,4,9.78
124,Camabatela,AO,2020-08-31 19:41:47,-8.19,15.38,65.88,81,33,3.09
125,Georgetown,MY,2020-08-31 19:41:47,5.41,100.34,80.6,88,20,3.36
126,San Cristobal,VE,2020-08-31 19:41:48,7.77,-72.22,89.6,46,40,13.87
127,Muros,ES,2020-08-31 19:41:48,42.78,-9.06,63.0,72,100,1.01
128,Iqaluit,CA,2020-08-31 19:41:48,63.75,-68.51,57.2,58,40,18.34
129,Gerash,IR,2020-08-31 19:41:49,27.67,54.14,82.4,18,0,3.51
130,Young,UY,2020-08-31 19:41:49,-32.68,-57.63,55.0,62,100,7.0
131,Ogaminana,NG,2020-08-31 19:41:49,7.59,6.22,73.2,93,100,7.83
132,Corsicana,US,2020-08-31 19:37:31,32.1,-96.47,98.6,44,1,14.99
133,Novo Aripuana,BR,2020-08-31 19:41:50,-5.12,-60.38,94.41,40,41,1.99
134,Belmonte,BR,2020-08-31 19:41:50,-15.86,-38.88,77.0,73,53,12.75
135,Norman Wells,CA,2020-08-31 19:41:50,65.28,-126.83,59.0,58,75,9.17
136,Barrow,US,2020-08-31 19:41:51,71.29,-156.79,37.4,86,90,24.16
137,Lagoa,PT,2020-08-31 19:41:51,39.05,-27.98,71.26,70,32,10.56
138,Esperance,AU,2020-08-31 19:41:51,-33.87,121.9,51.8,81,27,12.75
139,Goderich,CA,2020-08-31 19:41:51,43.75,-81.72,78.01,49,49,11.3
140,Bandarbeyla,SO,2020-08-31 19:41:52,9.49,50.81,77.04,80,0,21.88
141,Acari,PE,2020-08-31 19:41:52,-15.43,-74.62,67.08,56,57,9.66
142,Nykoping,SE,2020-08-31 19:41:52,58.75,17.01,57.2,62,75,12.75
143,Klaksvik,FO,2020-08-31 19:41:53,62.23,-6.59,51.8,93,100,19.46
144,Aykhal,RU,2020-08-31 19:41:53,66.0,111.5,39.2,93,90,6.71
145,Yatou,CN,2020-08-31 19:41:53,37.15,122.38,74.88,94,80,10.49
146,Svolvaer,NO,2020-08-31 19:41:53,68.23,14.57,51.8,93,75,11.41
147,Schuttorf,DE,2020-08-31 19:41:53,52.32,7.23,61.0,75,0,6.13
148,Provideniya,RU,2020-08-31 19:41:54,64.38,-173.3,46.4,65,37,11.18
149,Lianzhou,CN,2020-08-31 19:41:54,24.78,112.38,75.85,75,61,2.66
150,Marquette,US,2020-08-31 19:41:54,46.53,-87.63,70.0,82,90,17.22
151,Castro,BR,2020-08-31 19:41:55,-24.79,-50.01,69.71,74,28,9.6
152,Port Alfred,ZA,2020-08-31 19:41:55,-33.59,26.89,58.3,56,100,11.34
153,Berlevag,NO,2020-08-31 19:41:55,70.86,29.09,46.4,75,32,10.29
154,Cherskiy,RU,2020-08-31 19:41:56,68.75,161.3,39.63,86,100,0.87
155,Mahebourg,MU,2020-08-31 19:41:56,-20.41,57.7,69.8,88,75,23.04
156,Totness,SR,2020-08-31 19:41:56,5.88,-56.32,81.37,84,84,10.69
157,Kutum,SD,2020-08-31 19:41:56,14.2,24.67,76.26,63,34,3.74
158,Birchis,RO,2020-08-31 19:41:57,45.97,22.17,75.2,50,0,11.41
159,Trincomalee,LK,2020-08-31 19:41:57,8.57,81.23,79.63,84,100,10.54
160,Vardo,NO,2020-08-31 19:41:57,70.37,31.11,48.2,81,89,13.87
161,Warrnambool,AU,2020-08-31 19:41:58,-38.38,142.48,39.0,95,100,10.38
162,Haines Junction,CA,2020-08-31 19:41:58,60.75,-137.51,54.72,54,0,11.54
163,Paamiut,GL,2020-08-31 19:41:58,61.99,-49.67,43.16,86,0,7.07
164,Dandong,CN,2020-08-31 19:41:58,40.13,124.39,71.94,95,100,12.28
165,San Quintin,MX,2020-08-31 19:41:59,30.48,-115.95,72.86,69,0,11.43
166,Qaanaaq,GL,2020-08-31 19:41:59,77.48,-69.36,33.98,82,32,2.01
167,Ilhabela,BR,2020-08-31 19:40:09,-23.78,-45.36,71.87,87,92,9.15
168,Paka,MY,2020-08-31 19:41:59,4.64,103.44,77.0,100,91,6.62
169,Ginda,IN,2020-08-31 19:42:00,30.69,78.49,65.41,91,81,0.49
170,Carauari,BR,2020-08-31 19:42:00,-4.88,-66.9,92.73,42,40,1.81
171,Makakilo City,US,2020-08-31 19:42:00,21.35,-158.09,84.2,58,1,10.29
172,Pokhara,NP,2020-08-31 19:39:04,28.23,83.98,72.46,78,52,2.28
173,Dhidhdhoo,MV,2020-08-31 19:42:01,6.88,73.1,82.72,76,88,10.63
174,Riyadh,SA,2020-08-31 19:37:14,24.69,46.72,93.2,21,37,4.7
