City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
607,Teluknaga,ID,82.0,haze,-6.1,106.64,Bale Ocasa hotel
610,Dalian,CN,78.01,scattered clouds,38.91,121.6,Kempinski Hotel Dalian
616,Kapit,MY,76.01,overcast clouds,2.02,112.93,Hotel Meligai Kapit
619,Tabas,IR,77.0,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
620,Ajdabiya,LY,75.97,clear sky,30.76,20.23,فندق التوجان
621,Oum Hadjer,TD,76.82,light rain,13.3,19.7,
622,San Juan Del Sur,NI,80.6,scattered clouds,11.25,-85.87,Nuestra Casa
623,Tukrah,LY,77.95,clear sky,32.53,20.58,استراحة لاقروتا
631,Mahuva,IN,82.02,scattered clouds,21.09,71.76,Hotel Blue Diamond.
640,Gualan,GT,78.73,overcast clouds,15.13,-89.37,Hotel Agua Viva
641,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
646,Jefferson City,US,80.6,clear sky,38.58,-92.17,DoubleTree by Hilton Hotel Jefferson City
652,Luwuk,ID,81.41,scattered clouds,-0.95,122.79,Hotel Santika Luwuk
656,Dimayon,PH,76.95,scattered clouds,8.07,124.15,
658,Nouadhibou,MR,75.2,clear sky,20.93,-17.03,El Medina
663,Emilio Carranza,MX,81.86,overcast clouds,19.97,-96.61,hotel delicias
665,Nouakchott,MR,78.8,overcast clouds,18.09,-15.98,Hôtel Iman
677,Kandrian,PG,81.73,light rain,-6.22,149.55,Kandrian Station
685,Ano Mera,GR,77.0,clear sky,37.45,25.4,Hotel La Résidence Mykonos
691,Awjilah,LY,79.68,clear sky,29.11,21.29,
692,Laramie,US,82.4,clear sky,41.31,-105.59,Ramada by Wyndham Laramie
693,Bismarck,US,75.2,clear sky,46.81,-100.78,Ramkota Hotel & Conference Center
700,Tiruvallur,IN,80.6,scattered clouds,13.15,79.92,Raghu Residency
701,Brigantine,US,80.6,scattered clouds,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
